fin_const,female_ownership,established_year,manager_experience,employees,sector
Moderate obstacle,0,2002,25,75,Manufacturing
No obstacle,50,1944,30,80,Manufacturing
No obstacle,0,1990,10,50,Manufacturing
No obstacle,30,2013,36,18,Manufacture
No obstacle,0,2019,5,8,Retail services
Minor obstacle,0,2021,31,13,Manufacturing
No obstacle,0,1996,27,8,Other services
Minor obstacle,100,2019,5,5,Retail services
Moderate obstacle,0,1981,42,1100,Retail services
Moderate obstacle,100,1995,20,6,Manufacturing
Minor obstacle,0,2008,16,60,Manufacturing
No obstacle,0,1986,30,8,Manufacturing
Minor obstacle,0,2006,20,8,Retail services
No obstacle,80,1991,33,35,Manufacturing
No obstacle,0,1990,1,6,Manufacturing
No obstacle,10,2003,10,180,Manufacturing
Major obstacle,0,1981,33,200,Manufacturing
Minor obstacle,0,2019,5,6,Manufacturing
Moderate obstacle,0,2020,6,5,Other services
No obstacle,20,2003,10,130,Manufacturing
Minor obstacle,100,1968,45,30,Manufacturing
Moderate obstacle,0,2005,19,120,Manufacturing
No obstacle,100,1977,48,5,Manufacturing
Minor obstacle,100,2017,7,12,Retail services
No obstacle,150,2014,15,7,Manufacturing
No obstacle,100,2006,13,5,Manufacturing
No obstacle,100,1987,20,7,Other services
Moderate obstacle,100,2011,10,18,Manufacturing
Minor obstacle,50,1979,45,60,Manufacturing
Major obstacle,100,1998,26,6,Manufacturing
Minor obstacle,50,1979,45,60,Manufacture
Minor obstacle,0,2000,,16,Manufacturing
Major obstacle,0,1990,34,31,Manufacturing
No obstacle,20,2012,11,60,Manufacturing
Minor obstacle,90,2017,,113,Manufacturing
Minor obstacle,0,1993,20,150,Manufacturing
Minor obstacle,0,1992,18,120,Manufacturing
Moderate obstacle,100,2019,5,10,Retail services
No obstacle,100,1965,6,45,Manufacturing
Minor obstacle,0,1984,40,70,Manufacturing
No obstacle,100,2012,12,5,Other services
No obstacle,100,2011,,50,Manufacturing
No obstacle,20,1995,10,51,Manufacturing
No obstacle,0,1990,11,45,Manufacturing
No obstacle,33,1994,30,8,Manufacturing
No obstacle,10,2000,40,130,Manufacturing
